paramCombinations_1,paramCombinations_2,paramCombinations_3,numDetectedFeatures,meanScore,varianceLocation_m,varianceLocation_n,meanScoreTop,varianceLocationTop_m,varianceLocationTop_n,computationTime,is_default
0.001,1,0,4433,43.2214851379395,3105.77392578125,4829.74755859375,7.44839334487915,1790.39001464844,0.0794122219085693,0.4025446,0
0.001,1,0.111111111111111,1222,116.511581420898,2744.20166015625,3883.76171875,53.2151489257813,814.879150390625,12.8923063278198,0.2348433,0
0.001,1,0.222222222222222,509,212.820236206055,3077.54028320313,4594.06494140625,88.4883041381836,662.39111328125,108.111457824707,0.2032631,0
0.001,1,0.333333333333333,424,239.246444702148,3123.97290039063,4752.81640625,178.218902587891,2800.083984375,2624.07080078125,0.2304862,0
0.001,1,0.444444444444444,400,246.128982543945,3105.77880859375,4735.28955078125,249.81396484375,2929.2158203125,22.3934936523438,0.2939634,0
0.001,1,0.555555555555556,375,252.912872314453,3187.81689453125,4785.2734375,251.883331298828,2943.58642578125,25.7861843109131,0.1950349,0
0.001,1,0.666666666666667,277,272.231872558594,3275.81079101563,4656.646484375,274.333343505859,3864.42797851563,54.1124992370605,0.2147505,0
0.001,1,0.777777777777778,277,272.231872558594,3275.81079101563,4656.646484375,274.333343505859,3864.42797851563,54.1124992370605,0.1925145,0
0.001,1,0.888888888888889,89,310.483154296875,2866.705078125,4690.9482421875,310.799987792969,3036.45776367188,261.917755126953,0.2004926,0
0.001,1,1,1,311.666656494141,4324.5,4324.5,0,0,0,0.210897,0
0.001,2,0,5272,24.5735645294189,3104.23681640625,4823.0859375,7.44839334487915,1790.39001464844,0.0794122219085693,0.2053333,0
0.001,2,0.111111111111111,964,68.5375137329102,2537.40649414063,3018.4169921875,53.2151489257813,814.879150390625,12.8923063278198,0.2109013,0
0.001,2,0.222222222222222,200,153.833358764648,2747.51831054688,3759.82470703125,88.4883041381836,662.39111328125,108.111457824707,0.2060869,0
0.001,2,0.333333333333333,100,226.106750488281,2747.83374023438,4571.26318359375,173.302886962891,3962.33227539063,2380.41870117188,0.2081086,0
0.001,2,0.444444444444444,84,246.940292358398,2647.52001953125,4687.0927734375,254.613357543945,3643.20239257813,315.559417724609,0.2357497,0
0.001,2,0.555555555555556,76,258.030700683594,2748.1689453125,4885.47021484375,259.805603027344,3647.27392578125,388.989501953125,0.2133892,0
0.001,2,0.666666666666667,61,272.826934814453,2665.3623046875,4648.44580078125,274.061157226563,3232.89477539063,645.98681640625,0.2107757,0
0.001,2,0.777777777777778,59,274.928436279297,2686.060546875,4774.49267578125,274.061157226563,3232.89477539063,645.98681640625,0.2169046,0
0.001,2,0.888888888888889,22,310.186920166016,3332.82446289063,4752.544921875,310.094482421875,3440.462890625,4421.36865234375,0.2283757,0
0.001,2,1,4,311.555541992188,3255,5148,0,0,0,0.2359682,0
0.001,3,0,5455,21.3707695007324,3103.70874023438,4819.87255859375,7.44839334487915,1790.39001464844,0.0794122219085693,0.2127405,0
0.001,3,0.111111111111111,912,54.7422561645508,2518.58764648438,2792.72216796875,53.2151489257813,814.879150390625,12.8923063278198,0.2087136,0
0.001,3,0.222222222222222,134,108.061950683594,2704.1279296875,2492.443359375,88.4883041381836,662.39111328125,108.111457824707,0.2087028,0
0.001,3,0.333333333333333,30,198.264892578125,2455.35107421875,3129.14111328125,170.308471679688,2711.88745117188,1770.4140625,0.2164889,0
0.001,3,0.444444444444444,18,257.166656494141,1916.70568847656,3796.82348632813,0,0,0,0.2287544,0
0.001,3,0.555555555555556,18,257.166656494141,1916.70568847656,3796.82348632813,0,0,0,0.2063337,0
0.001,3,0.666666666666667,13,279.598297119141,2187.6923828125,3488.76928710938,0,0,0,0.2059003,0
0.001,3,0.777777777777778,13,279.598297119141,2187.6923828125,3488.76928710938,0,0,0,0.2119403,0
0.001,3,0.888888888888889,6,308.888885498047,1752,4737.60009765625,0,0,0,0.2342425,0
0.001,3,1,1,311.222229003906,19602,19602,0,0,0,0.2694618,0
0.001,4,0,5489,20.6316146850586,3096.35791015625,4814.6103515625,7.44839334487915,1790.39001464844,0.0794122219085693,0.2118988,0
0.001,4,0.111111111111111,1340,44.6252479553223,2432.0400390625,2829.45556640625,44.751579284668,872.371826171875,12.2426452636719,0.2084732,0
0.001,4,0.222222222222222,229,75.3281784057617,2931.740234375,2489.65893554688,75.9555053710938,484.692993164063,60.92822265625,0.2150704,0
0.001,4,0.333333333333333,48,103.182746887207,2546.33666992188,2738.18798828125,99.8232421875,2658.35571289063,864.692321777344,0.2310443,0
0.001,4,0.444444444444444,4,175.044097900391,430.395141601563,3284.90698242188,0,0,0,0.2091731,0
0.001,4,0.555555555555556,2,228.055557250977,72,4608,0,0,0,0.2151164,0
0.001,4,0.666666666666667,2,228.055557250977,72,4608,0,0,0,0.2394977,0
0.001,4,0.777777777777778,2,228.055557250977,72,4608,0,0,0,0.2066277,0
0.001,4,0.888888888888889,1,255.888885498047,1800,1800,0,0,0,0.2298907,0
0.001,4,1,1,255.888885498047,1800,1800,0,0,0,0.2063535,0
0.111111111111111,1,0,1029,43.7240295410156,2469.80834960938,2874.95629882813,45.3802757263184,866.673034667969,11.0183925628662,0.173289,0
0.111111111111111,1,0.111111111111111,1029,43.7240295410156,2469.80834960938,2874.95629882813,45.3802757263184,866.673034667969,11.0183925628662,0.1811845,0
0.111111111111111,1,0.222222222222222,927,45.9442749023438,2436.29858398438,2902.66088867188,45.3802757263184,866.673034667969,11.0183925628662,0.1702425,0
0.111111111111111,1,0.333333333333333,420,59.184383392334,2556.15966796875,2527.4541015625,57.626091003418,733.92333984375,7.49506187438965,0.1763386,0
0.111111111111111,1,0.444444444444444,182,73.2617034912109,3002.2783203125,2451.86889648438,75.9555053710938,484.692993164063,60.92822265625,0.1997277,0
