paramCombinations_1,paramCombinations_2,paramCombinations_3,paramCombinations_4,numDetectedFeatures,meanScore,varianceLocation_m,varianceLocation_n,meanScoreTop,varianceLocationTop_m,varianceLocationTop_n,computationTime,is_default
region,0.0001,1,3,153,0.000294468831270933,2385.35302734375,3536.87182617188,0.000253351405262947,1732.29150390625,156.72509765625,0.2054649,0
region,0.0001,1,4,391,0.000415371119743213,2490.07104492188,3308.35375976563,0.000339230027748272,1545.18981933594,42.5567893981934,0.0340027,0
region,0.0001,1,5,391,0.000415371119743213,2490.06787109375,3308.3076171875,0.000339230027748272,1545.23254394531,42.552375793457,0.0299769,0
region,0.0001,1,6,614,0.000537396059371531,2480.4423828125,3394.9052734375,0.000339230027748272,1545.26306152344,42.5494384765625,0.0257623,0
region,0.0001,1,7,613,0.000531548575963825,2479.2041015625,3419.36987304688,0.000339230027748272,1545.28393554688,42.5474700927734,0.4283169,0
region,0.0001,1,8,613,0.000525880488567054,2484.6123046875,3410.84350585938,0.000339230027748272,1545.29931640625,42.5460777282715,0.0311903,0
region,0.0001,1,9,619,0.000529937504325062,2479.34497070313,3412.65771484375,0.000339230027748272,1545.31140136719,42.5450477600098,0.0296602,0
region,0.0001,1,10,616,0.000527047959621996,2482.17749023438,3417.5732421875,0.000339230027748272,1545.32080078125,42.5442504882813,0.02251,0
region,0.0001,2,3,415,0.000621419691015035,2497.65795898438,3556.5693359375,0.000273858604487032,1438.4814453125,142.487243652344,0.0223775,0
region,0.0001,2,4,699,0.000621566898189485,2491.9677734375,3387.29370117188,0.000339230027748272,1545.18981933594,42.5567893981934,0.0275315,0
region,0.0001,2,5,732,0.000637635414022952,2483.76171875,3389.3095703125,0.000339230027748272,1545.23254394531,42.552375793457,0.0321017,0
region,0.0001,2,6,781,0.000664079911075532,2484.1064453125,3437.9638671875,0.000339230027748272,1545.26306152344,42.5494384765625,0.0369881,0
region,0.0001,2,7,780,0.000654291885439306,2464.90771484375,3439.37744140625,0.000339230027748272,1545.28393554688,42.5474700927734,0.0398745,0
region,0.0001,2,8,791,0.000644251180347055,2476.65942382813,3446.18994140625,0.000339230027748272,1545.29931640625,42.5460777282715,0.0439146,0
region,0.0001,2,9,798,0.000643039704300463,2458.73706054688,3442.24536132813,0.000339230027748272,1545.31140136719,42.5450477600098,0.1170467,0
region,0.0001,2,10,850,0.000685871345922351,2459.3671875,3443.84741210938,0.000339230027748272,1545.32080078125,42.5442504882813,0.0571213,0
region,0.0001,3,3,464,0.000746070290915668,2473.85424804688,3509.701171875,0.000273858604487032,1438.4814453125,142.487243652344,0.0380444,0
region,0.0001,3,4,734,0.00067895749816671,2504.00390625,3388.45947265625,0.000339230027748272,1545.18981933594,42.5567893981934,0.0435596,0
region,0.0001,3,5,785,0.000731522857677191,2466.15551757813,3405.337890625,0.000339230027748272,1545.23254394531,42.552375793457,0.0664024,0
region,0.0001,3,6,839,0.000746961974073201,2471.83569335938,3464.48681640625,0.000339230027748272,1545.26306152344,42.5494384765625,0.0630577,0
region,0.0001,3,7,844,0.000729310093447566,2461.71533203125,3432.99951171875,0.000339230027748272,1545.28393554688,42.5474700927734,0.085989,0
region,0.0001,3,8,873,0.000718702387530357,2474.89135742188,3438.24951171875,0.000339230027748272,1545.29931640625,42.5460777282715,0.0942976,0
region,0.0001,3,9,903,0.000719960895366967,2450.0361328125,3427.84814453125,0.000339230027748272,1545.31140136719,42.5450477600098,0.1306264,0
region,0.0001,3,10,938,0.000717971241101623,2466.90991210938,3413.7890625,0.000339230027748272,1545.32080078125,42.5442504882813,0.1291625,0
region,0.0001,4,3,483,0.000763111747801304,2516.97094726563,3544.45239257813,0.000273858604487032,1438.4814453125,142.487243652344,0.0729952,0
region,0.0001,4,4,752,0.000684459460899234,2531.90869140625,3401.38671875,0.000339230027748272,1545.18981933594,42.5567893981934,0.1605337,0
region,0.0001,4,5,802,0.000734585337340832,2495.55590820313,3434.53173828125,0.000339230027748272,1545.23254394531,42.552375793457,0.1476885,0
region,0.0001,4,6,853,0.000747573038097471,2499.21557617188,3482.53344726563,0.000339230027748272,1545.26306152344,42.5494384765625,0.1804928,0
region,0.0001,4,7,863,0.00072831375291571,2479.98803710938,3478.53149414063,0.000339230027748272,1545.28393554688,42.5474700927734,0.1308325,0
region,0.0001,4,8,892,0.000719232950359583,2490.88916015625,3483.25756835938,0.000339230027748272,1545.29931640625,42.5460777282715,0.1252103,0
region,0.0001,4,9,919,0.000721250777132809,2467.80493164063,3454.205078125,0.000339230027748272,1545.31140136719,42.5450477600098,0.2748912,0
region,0.0001,4,10,953,0.000718519208021462,2494.1455078125,3431.66284179688,0.000339230027748272,1545.32080078125,42.5442504882813,0.2870112,0
region,0.444444444444444,1,3,0,NaN,NaN,NaN,0,0,0,0.0497232,0
region,0.444444444444444,1,4,0,NaN,NaN,NaN,0,0,0,0.016366,0
region,0.444444444444444,1,5,0,NaN,NaN,NaN,0,0,0,0.020623,0
region,0.444444444444444,1,6,0,NaN,NaN,NaN,0,0,0,0.0177625,0
region,0.444444444444444,1,7,0,NaN,NaN,NaN,0,0,0,0.0205073,0
region,0.444444444444444,1,8,0,NaN,NaN,NaN,0,0,0,0.0286197,0
region,0.444444444444444,1,9,0,NaN,NaN,NaN,0,0,0,0.0263153,0
region,0.444444444444444,1,10,0,NaN,NaN,NaN,0,0,0,0.0329719,0
region,0.444444444444444,2,3,0,NaN,NaN,NaN,0,0,0,0.0278703,0
region,0.444444444444444,2,4,0,NaN,NaN,NaN,0,0,0,0.040767,0
region,0.444444444444444,2,5,0,NaN,NaN,NaN,0,0,0,0.0385853,0
region,0.444444444444444,2,6,0,NaN,NaN,NaN,0,0,0,0.072881,0
region,0.444444444444444,2,7,0,NaN,NaN,NaN,0,0,0,0.0556036,0
region,0.444444444444444,2,8,0,NaN,NaN,NaN,0,0,0,0.0699544,0
region,0.444444444444444,2,9,0,NaN,NaN,NaN,0,0,0,0.0817937,0
region,0.444444444444444,2,10,0,NaN,NaN,NaN,0,0,0,0.2398038,0
region,0.444444444444444,3,3,0,NaN,NaN,NaN,0,0,0,0.1394677,0
region,0.444444444444444,3,4,0,NaN,NaN,NaN,0,0,0,0.1262952,0
region,0.444444444444444,3,5,0,NaN,NaN,NaN,0,0,0,0.1498027,0
region,0.444444444444444,3,6,0,NaN,NaN,NaN,0,0,0,0.140605,0
region,0.444444444444444,3,7,0,NaN,NaN,NaN,0,0,0,0.1664295,0
region,0.444444444444444,3,8,0,NaN,NaN,NaN,0,0,0,0.1296993,0
region,0.444444444444444,3,9,0,NaN,NaN,NaN,0,0,0,0.1248679,0
region,0.444444444444444,3,10,0,NaN,NaN,NaN,0,0,0,0.0898716,0
region,0.444444444444444,4,3,0,NaN,NaN,NaN,0,0,0,0.077762,0
region,0.444444444444444,4,4,0,NaN,NaN,NaN,0,0,0,0.125103,0
region,0.444444444444444,4,5,0,NaN,NaN,NaN,0,0,0,0.1141859,0
region,0.444444444444444,4,6,0,NaN,NaN,NaN,0,0,0,0.1073726,0
region,0.444444444444444,4,7,0,NaN,NaN,NaN,0,0,0,0.1371975,0
region,0.444444444444444,4,8,0,NaN,NaN,NaN,0,0,0,0.2079287,0
region,0.444444444444444,4,9,0,NaN,NaN,NaN,0,0,0,0.2234511,0
region,0.444444444444444,4,10,0,NaN,NaN,NaN,0,0,0,0.1801102,0
region,0.888888888888889,1,3,0,NaN,NaN,NaN,0,0,0,0.0406137,0
