paramCombinations_1,paramCombinations_2,paramCombinations_3,numDetectedFeatures,meanScore,varianceLocation_m,varianceLocation_n,meanScoreTop,varianceLocationTop_m,varianceLocationTop_n,computationTime,is_default
1,1,3,277,478.680908203125,2788.8916015625,4257.61767578125,2671.83837890625,2889.48803710938,2251.193359375,0.1532237,0
1,1,4,495,484.865966796875,2572.84594726563,4186.65283203125,3565.60888671875,2885.74829101563,2227.29370117188,0.0249197,0
1,1,5,623,467.984252929688,2547.63061523438,4234.5615234375,3958.861328125,2943.52514648438,2594.56567382813,0.0281394,0
1,1,6,714,455.228942871094,2577.62377929688,4203.16552734375,4560.73046875,2841.32006835938,2482.78930664063,0.0253926,0
1,2,3,330,553.135009765625,2646.73046875,4123.4677734375,3644.37109375,2292.74169921875,2478.36645507813,0.0749712,0
1,2,4,583,538.897888183594,2464.0869140625,4064.82006835938,4953.953125,2652.17260742188,2567.76171875,0.0139499,0
1,2,5,722,524.375244140625,2438.85229492188,4107.70703125,5433.05810546875,2299.95092773438,2342.60791015625,0.0154235,0
1,2,6,821,510.371490478516,2464.59814453125,4081.61352539063,6001.5615234375,2477.16479492188,2061.71850585938,0.0150929,0
1,3,3,341,556.038146972656,2594.54052734375,4085.92016601563,3644.37109375,2292.74169921875,2478.36645507813,0.0116579,0
1,3,4,596,541.065734863281,2430.978515625,4038.52807617188,4953.953125,2652.17260742188,2567.76171875,0.0122735,0
1,3,5,737,525.749450683594,2405.99926757813,4076.69873046875,5433.05810546875,2299.95092773438,2342.60791015625,0.0162096,0
1,3,6,836,511.834167480469,2435.17553710938,4055.12036132813,6001.5615234375,2477.16479492188,2061.71850585938,0.0184221,0
1,4,3,341,556.038146972656,2594.54052734375,4085.92016601563,3644.37109375,2292.74169921875,2478.36645507813,0.0099438,0
1,4,4,596,541.065734863281,2430.978515625,4038.52807617188,4953.953125,2652.17260742188,2567.76171875,0.0143625,0
1,4,5,737,525.749450683594,2405.99926757813,4076.69873046875,5433.05810546875,2299.95092773438,2342.60791015625,0.0165331,0
1,4,6,836,511.834167480469,2435.17553710938,4055.12036132813,6001.5615234375,2477.16479492188,2061.71850585938,0.0172151,0
112,1,3,190,678.742248535156,2397.61279296875,3710.98876953125,2671.83837890625,2889.48803710938,2251.193359375,0.0058453,0
112,1,4,331,702.489135742188,2315.48828125,3592.1455078125,3565.60888671875,2885.74829101563,2227.29370117188,0.0080169,0
112,1,5,400,703.172790527344,2294.57788085938,3533.96801757813,3958.861328125,2943.52514648438,2594.56567382813,0.0095259,0
112,1,6,443,705.653930664063,2332.38696289063,3523.76538085938,4560.73046875,2841.32006835938,2482.78930664063,0.0103498,0
112,2,3,230,774.4833984375,2246.86376953125,3617.9345703125,3644.37109375,2292.74169921875,2478.36645507813,0.0082439,0
112,2,4,398,767.523864746094,2191.04711914063,3511.79467773438,4953.953125,2652.17260742188,2567.76171875,0.0158616,0
